Crop Name,Soil Type,pH Level,Climate Condition,Recommended Fertilizer
Lentils,Chalky,5.0,Wet,"Urea, DAP"
Bitter Gourd,Loamy,5.3,Humid,"Compost, Urea"
Coconut,Peaty,8.2,Wet,"Potash, Gypsum"
Cashew,Loamy,4.6,Tropical,"NPK 20:20:20, Ammonium Sulfate"
Rice,Loamy,5.0,Humid,"Bio-Fertilizer, Bone Meal"
Pigeon Pea,Clayey,5.5,Moderate,"NPK 20:20:20, Urea"
Potato,Peaty,5.0,Temperate,"Urea, Bio-Fertilizer"
Lemon,Peaty,5.3,Arid,"Potash, Bio-Fertilizer"
Papaya,Loamy,5.1,Subtropical,"NPK 20:20:20, DAP"
Guava,Sandy,7.4,Moderate,"Compost, DAP"
Banana,Saline,4.8,Tropical,"Phosphorus-based Fertilizer, Cow Manure"
Sorghum,Sandy,4.8,Wet,"Cow Manure, MOP"
Spinach,Chalky,7.7,Moderate,"Organic Manure, Bio-Fertilizer"
Rice,Peaty,8.0,Moderate,"MOP, Potash"
Papaya,Loamy,7.3,Warm,"Bone Meal, MOP"
Mango,Peaty,4.9,Tropical,"MOP, Compost"
Banana,Silty,7.1,Dry,"SSP, Bone Meal"
Turmeric,Saline,6.8,Subtropical,"SSP, Compost"
Cucumber,Chalky,5.7,Humid,"Compost, NPK 20:20:20"
Potato,Chalky,8.3,Cool,"Ammonium Sulfate, Bone Meal"
Pineapple,Chalky,7.5,Subtropical,"Organic Manure, Ammonium Sulfate"
Coffee,Clayey,7.1,Subtropical,"Ammonium Sulfate, Potash"
Strawberry,Silty,8.0,Subtropical,"MOP, Potash"
Pineapple,Loamy,6.2,Temperate,"Potash, SSP"
Sunflower,Loamy,8.2,Warm,"Cow Manure, Bio-Fertilizer"
Peas,Loamy,5.0,Arid,"Gypsum, Urea"
Tomato,Silty,8.3,Subtropical,"Phosphorus-based Fertilizer, Ammonium Sulfate"
Rubber,Silty,7.1,Tropical,"SSP, Cow Manure"
Lychee,Chalky,5.7,Temperate,"Gypsum, Potash"
Oats,Chalky,4.6,Subtropical,"Cow Manure, NPK 20:20:20"
Soybean,Chalky,7.9,Wet,"SSP, Urea"
Ragi,Clayey,6.3,Humid,"Potash, NPK 20:20:20"
Bottle Gourd,Peaty,5.4,Dry,"SSP, Bone Meal"
Papaya,Loamy,5.0,Moderate,"Bio-Fertilizer, SSP"
Sugarcane,Silty,7.5,Humid,"Gypsum, Potash"
Cucumber,Chalky,4.9,Warm,"Ammonium Sulfate, Organic Manure"
Cashew,Chalky,7.5,Subtropical,"Urea, Bio-Fertilizer"
Muskmelon,Sandy,8.5,Cool,"Phosphorus-based Fertilizer, Urea"
Pomegranate,Silty,7.4,Subtropical,"Potash, Urea"
Cabbage,Chalky,5.6,Arid,"MOP, Bio-Fertilizer"
Ginger,Clayey,4.7,Temperate,"Bone Meal, Potash"
Watermelon,Loamy,5.5,Dry,"Bio-Fertilizer, SSP"
Banana,Saline,4.9,Subtropical,"Gypsum, Bio-Fertilizer"
Turmeric,Silty,5.7,Tropical,"Urea, Phosphorus-based Fertilizer"
Guava,Clayey,5.9,Dry,"Gypsum, Phosphorus-based Fertilizer"
Black Gram,Silty,7.4,Dry,"Ammonium Sulfate, Cow Manure"
Rubber,Sandy,8.5,Cool,"DAP, Gypsum"
Barley,Clayey,5.5,Wet,"NPK 20:20:20, SSP"
Groundnut,Sandy,6.1,Warm,"SSP, NPK 20:20:20"
Bottle Gourd,Loamy,7.1,Cool,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Pomegranate,Peaty,7.6,Tropical,"Urea, Phosphorus-based Fertilizer"
Pumpkin,Sandy,7.4,Temperate,"Bio-Fertilizer, Ammonium Sulfate"
Onion,Chalky,7.7,Subtropical,"DAP, Cow Manure"
Garlic,Silty,6.1,Moderate,"Phosphorus-based Fertilizer, SSP"
Apple,Chalky,7.9,Moderate,"Cow Manure, Organic Manure"
Cashew,Sandy,7.6,Dry,"Ammonium Sulfate, Phosphorus-based Fertilizer"
Soybean,Silty,6.3,Wet,"Compost, Bone Meal"
Strawberry,Sandy,5.0,Tropical,"SSP, Bio-Fertilizer"
Lemon,Clayey,5.7,Subtropical,"Cow Manure, Organic Manure"
Sorghum,Chalky,6.9,Moderate,"MOP, Urea"
Bottle Gourd,Chalky,7.5,Cool,"Bone Meal, Urea"
Maize,Clayey,5.0,Warm,"Bio-Fertilizer, Bone Meal"
Onion,Clayey,7.3,Warm,"Bio-Fertilizer, Potash"
